MSFT,Microsoft Corporation,12312017,IBM announces new hiring in France as CEOs meet Macron ,PARIS  May 23 IBM announced new recruitment in France before a meeting between President Emmanuel Macron and the bosses of IBM and Microsoft.,topStory
TSLA,Tesla Inc ,12312017,Tesla shares seen rising despite 'fever pitch' of bad news: analyst ,SAN FRANCISCO Negative news stories about Tesla Inc have hit "fever pitch"  but the electric carmaker's stock price is likely to surge as output of its Model 3 sedan improves  according to an analyst research report.,topStory
TSLA,Tesla Inc ,12312017,UPDATE 1-Tesla shares seen rising despite 'fever pitch' of bad news - analyst ,SAN FRANCISCO  May 23 Negative news stories about Tesla Inc have hit "fever pitch"  but the electric carmaker's stock price is likely to surge as output of its Model 3 sedan improves  according to an analyst research report.,normal
TSLA,Tesla Inc ,12312017,Tesla shares poised to rise after 'fever pitch' of bad news - analyst ,SAN FRANCISCO  May 23 Immaterial negative news stories about Tesla Inc have hit a "fever pitch"  and the electric carmaker's stock is set to surge as output of its Model 3 sedan improves  according to an analyst.,normal
TSLA,Tesla Inc ,12312017,Consumer groups ask U.S. agency to probe Tesla 'Autopilot' ads ,SAN FRANCISCO Two U.S. consumer advocacy groups urged the Federal Trade Commission on Wednesday to investigate what they called Tesla Inc's "deceptive and misleading" use of the name Autopilot for its assisted-driving technology.,normal
TSLA,Tesla Inc ,12312017,UPDATE 2-Consumer groups ask U.S. agency to probe Tesla 'Autopilot' ads ,SAN FRANCISCO  May 23 Two U.S. consumer advocacy groups urged the Federal Trade Commission on Wednesday to investigate what they called Tesla Inc's "deceptive and misleading" use of the name Autopilot for its assisted-driving technology.,normal
TSLA,Tesla Inc ,12312017,Tesla Model 3 registrations zip past rivals in California ,Tesla Inc's Model 3 sedan recorded more registrations in California than its class rivals BMW 3-Series and Mercedes C-Class in the first quarter  according to a report by the California New Car Dealers Association (CNCDA). Model 3 registrations totaled 3 723  or 14.3 percent of the near-luxury segment  compared with 3 323 for the Mercedes variant and 3 260 for the BMW model  the CNCDA report said.,normal
TSLA,Tesla Inc ,12312017,Tesla Model 3 registrations zip past rivals in California ,May 23 Tesla Inc's Model 3 sedan recorded more registrations in California than its class rivals BMW 3-Series and Mercedes C-Class in the first quarter  according to a report by the California New Car Dealers Association (CNCDA).,normal
TSLA,Tesla Inc ,12312017,REFILE-Consumer groups ask U.S. agency to probe Tesla 'Autopilot' ads ,SAN FRANCISCO  May 23 Two U.S. consumer advocacy groups urged the Federal Trade Commission on Wednesday to investigate what they called Tesla Inc's "deceptive and misleading" use of the name Autopilot for its assisted-driving technology.,normal
TSLA,Tesla Inc ,12312017,Tesla trims up to $14 000 off Model X in China after tariff cuts ,BEIJING Tesla Inc has slashed up to $14 000 off its Model X in China after Beijing announced major tariff cuts for imported automobiles  a potential sales boost for the U.S. firm as the world's largest auto market pivots towards electric cars.,normal
TSLA,Tesla Inc ,12312017,Tesla trims up to $14 000 off Model X in China after tariff cuts ,BEIJING  May 23 Tesla Inc has slashed up to $14 000 off its Model X in China after Beijing announced major tariff cuts for imported automobiles  a potential sales boost for the U.S. firm as the world's largest auto market pivots towards electric cars.,normal
