INTC,Intel Corporation,05272018,FOCUS-Zara looks to technology to keep up with faster fashion ,MADRID  June 15 The pioneer of fast fashion isn't looking so fast anymore.,normal
QCOM,QUALCOMM Incorporated,05272018,Apple  Qualcomm battle over possible ban on some U.S. iPhone imports ,The staff of the U.S. International Trade Commission on Friday recommended that a trade judge find that Apple Inc  infringed at least one of Qualcomm Inc's  patents  a move that could lead to blocking the import of some iPhones.,topStory
QCOM,QUALCOMM Incorporated,05272018,Apple  Qualcomm battle over possible ban on some U.S. iPhone imports ,June 15 The staff of the U.S. International Trade Commission on Friday recommended that a trade judge find that Apple Inc infringed at least one of Qualcomm Inc's patents  a move that could lead to blocking the import of some iPhones.,normal
QCOM,QUALCOMM Incorporated,05272018,Wall Street ends high-volume session lower on trade jitters ,NEW YORK Wall Street stocks ended lower on Friday  capping a day of heavy trading with investors mostly pulling back from initial concerns over an escalating trade dispute between the United States and China. | Video ,normal
QCOM,QUALCOMM Incorporated,05272018,Qualcomm-NXP deal still waiting for China nod: sources ,BEIJING/SHANGHAI China is yet to approve U.S. chipmaker Qualcomm Inc's  proposed $44 billion acquisition of NXP Semiconductors   three people close to the talks said  dismissing an earlier media report that said Beijing had already greenlit the deal. | Video ,normal
QCOM,QUALCOMM Incorporated,05272018,US STOCKS-Wall St heads lower on rising China trade tensions ,* U.S. to implement 25 pct tariffs on $50 bln of Chinese goods,normal
QCOM,QUALCOMM Incorporated,05272018,US STOCKS-Wall St set to sink as China trade spat intensifies ,* U.S. to implement 25 pct tariff on $50 bln of Chinese goods,normal
QCOM,QUALCOMM Incorporated,05272018,UPDATE 4-Qualcomm-NXP deal still waiting for China nod - sources ,* Pending U.S. tariffs could still hit deal - source (Adds Qualcomm extending cash tender offer to buy NXP shares),normal
QCOM,QUALCOMM Incorporated,05272018,Qualcomm extends cash tender offer to buy NXP shares ,Qualcomm Inc has extended by a week its cash tender offer to buy all shares of NXP Semiconductors NV for $44 billion  the chipmaker said on Friday.,normal
QCOM,QUALCOMM Incorporated,05272018,Qualcomm extends cash tender offer to buy NXP shares ,June 15 Qualcomm Inc has extended by a week its cash tender offer to buy all shares of NXP Semiconductors NV for $44 billion  the chipmaker said on Friday.,normal
QCOM,QUALCOMM Incorporated,05272018,US STOCKS-Futures slide as U.S. readies China tariffs ,June 15 U.S. stock index futures fell on Friday as the Trump administration prepared to impose tariffs on Chinese goods worth $50 billion that could trigger a countermove from Beijing and escalate trade tensions between the two largest economies.,normal
