MSFT,Microsoft Corporation,05272018,GRAPHIC-Falling offshore T-bond holdings highlight U.S. cash repatriation ,LONDON  Aug 16 Dollars are going home. In low-tax jurisdictions from Ireland to the Bahamas  the stock of Treasury bond holdings is down $22 billion this year in a sign U.S. companies are repatriating cash held offshore after changes to how foreign earnings are taxed.,normal
TSLA,Tesla Inc ,05272018,First crack at Musk could give top Tesla funds an edge ,BOSTON Information about Elon Musk's efforts to take Tesla Inc  private is scarce. But some small investors wonder if top funds have an edge.,topStory
TSLA,Tesla Inc ,05272018,First crack at Musk could give top Tesla funds an edge ,BOSTON  Aug 16 Information about Elon Musk's efforts to take Tesla Inc private is scarce. But some small investors wonder if top funds have an edge.,normal
TSLA,Tesla Inc ,05272018,SEC pressing Tesla directors for details on communications with Musk: Wall Street Journal ,Federal regulators are pressing Tesla Inc's  directors for details on how much information Chief Executive Elon Musk shared with them before he tweeted last week about a potential deal to take the company private  the Wall Street Journal reported on Thursday  citing a person familiar with the matter.,normal
TSLA,Tesla Inc ,05272018,UPDATE 1-SEC pressing Tesla directors for details on communications with Musk - WSJ ,Aug 16 Federal regulators are pressing Tesla Inc's directors for details on how much information Chief Executive Elon Musk shared with them before he tweeted last week about a potential deal to take the company private  the Wall Street Journal reported https://on.wsj.com/2MS65vw on Thursday  citing a person familiar with the matter.,normal
TSLA,Tesla Inc ,05272018,Breakingviews - Revamped U.S. deal reviews are skid risk for Tesla ,WASHINGTON (Reuters Breakingviews) - Tesla Chief Executive Elon Musk's idea of taking the company private faces risks beyond the financial and disclosure-related kind. Saudi Arabia’s help in a buyout could spur national-security scrutiny under the newly expanded powers of the Committee on Foreign Investment in the United States.,normal
TSLA,Tesla Inc ,05272018,SEC pressing Tesla directors for details on communications with Musk - WSJ ,Aug 16 Federal regulators are pressing Tesla Inc's directors for details on how much information Chief Executive Elon Musk shared with them before he tweeted last week about a potential deal to take the company private  the Wall Street Journal reported https://on.wsj.com/2MS65vw on Thursday  citing a person familiar with the matter.,normal
TSLA,Tesla Inc ,05272018,Tesla on track to make 8 000 Model 3s per week  Evercore says ,Tesla Inc  is on its way to make 8 000 Model 3 cars per week even as it burns more cash  Evercore analysts wrote in a note on Thursday  following their visit to the electric-car maker's California facility.,normal
TSLA,Tesla Inc ,05272018,Tesla on track to make 8 000 Model 3s per week  Evercore says ,Aug 16 Tesla Inc is on its way to make 8 000 Model 3 cars per week even as it burns more cash  Evercore analysts wrote in a note on Thursday  following their visit to the electric-car maker's California facility.,normal
TSLA,Tesla Inc ,05272018,RPT-COLUMN-Tesla  Musk face SEC wrist slap at worst  experts say: Frankel ,NEW YORK  Aug 15    Tesla CEO Elon Musk and the company itself may have little to fear from U.S. regulators according to legal analysts  despite Musk's failure so far to back up his early August tweet saying he had "funding secured" for his plan to take the electric car maker private.,normal
TSLA,Tesla Inc ,05272018,Tesla  Musk face SEC wrist slap at worst  experts say: Frankel ,NEW YORK Tesla CEO Elon Musk and the company itself may have little to fear from U.S. regulators according to legal analysts  despite Musk's failure so far to back up his early August tweet saying he had "funding secured" for his plan to take the electric car maker private.,normal
NVDA,NVIDIA Corporation,05272018,UPDATE 3-Nvidia forecast lags Wall Street as crypto demand evaporates ,Aug 16 Nvidia Corp shares fell as much as 5 percent in after-hours trading on Thursday after the chip maker said cryptocurrency-fueled demand had dried up and it forecast sales below Wall Street targets  overshadowing quarterly results that otherwise beat expectations.,topStory
NVDA,NVIDIA Corporation,05272018,Nvidia forecasts revenue below estimates ,Aug 16 Nvidia Corp forecast third-quarter revenue below Wall Street estimates on Thursday  overshadowing a profit beat and sending its shares down nearly 6 percent in extended trading.,normal
