MSFT,Microsoft Corporation,05272018,VMware to acquire startup CloudHealth in push to grow cloud offerings ,SAN FRANCISCO  Aug 27 VMware Inc will acquire CloudHealth Technologies as part of the information technology company's continued push into cloud-based software services  the company announced on Monday.,normal
TSLA,Tesla Inc ,05272018,Tesla  Elon Musk win dismissal of lawsuit over Model 3 production ,A federal judge in San Francisco dismissed a securities fraud lawsuit in which Tesla Inc  shareholders accused the electric car company and Chief Executive Elon Musk of misleading them about the progress of production of its Model 3 vehicle.,topStory
TSLA,Tesla Inc ,05272018,UPDATE 1-Tesla  Elon Musk win dismissal of lawsuit over Model 3 production ,Aug 27 A federal judge in San Francisco dismissed a securities fraud lawsuit in which Tesla Inc shareholders accused the electric car company and Chief Executive Elon Musk of misleading them about the progress of production of its Model 3 vehicle.,normal
TSLA,Tesla Inc ,05272018,Tesla wins dismissal of shareholder lawsuit over Model 3 production ,Aug 27 A federal judge in San Francisco has dismissed a lawsuit in which Tesla Inc shareholders accused the carmaker of misleading the public about the progress on production of its Model 3 vehicle.,normal
TSLA,Tesla Inc ,05272018,Tesla shares dip 3 percent after Musk abandons buyout ,Shares in Tesla Inc  fell just under 3 percent on Monday after Chief Executive Elon Musk abandoned his plan to take the electric carmaker private  with analysts saying the company needed new blood among senior management to prop up its standing with investors. | Video ,normal
TSLA,Tesla Inc ,05272018,Musk's U-turn on Tesla deal could intensify his legal  regulatory woes ,WASHINGTON Tesla Inc Chief Executive Elon Musk's decision to abruptly abandon a plan to take his electric carmaker private will not resolve his mounting regulatory and legal woes  and may even make them worse  some securities lawyers said.,normal
TSLA,Tesla Inc ,05272018,UPDATE 4-Tesla shares dip 3 pct after Musk abandons buyout ,* Analysts say Tesla could do with new CEO or operations chief,normal
TSLA,Tesla Inc ,05272018,RPT-Musk's U-turn on Tesla deal could intensify his legal  regulatory woes ,WASHINGTON  Aug 26 Tesla Inc Chief Executive Elon Musk's decision to abruptly abandon a plan to take his electric carmaker private will not resolve his mounting regulatory and legal woes  and may even make them worse  some securities lawyers said.,normal
TSLA,Tesla Inc ,05272018,Tesla's German shares fall after CEO Musk drops plan to take company private ,LONDON Germany-listed shares in Tesla  fell more than 3 percent in early deals on the Tradegate exchange on Monday  after Chief Executive Elon Musk called off his bid to take the company private.,normal
TSLA,Tesla Inc ,05272018,Tesla's German shares fall after CEO Musk drops plan to take company private ,LONDON  Aug 27 Germany-listed shares in Tesla fell more than 3 percent in early deals on the Tradegate exchange on Monday  after Chief Executive Elon Musk called off his bid to take the company private.,normal
TSLA,Tesla Inc ,05272018,RPT-Musk's U-turn on Tesla deal could intensify his legal  regulatory woes ,WASHINGTON  Aug 26 Tesla Inc Chief Executive Elon Musk's decision to abruptly abandon a plan to take his electric carmaker private will not resolve his mounting regulatory and legal woes  and may even make them worse  some securities lawyers said.,normal
