MSFT,Microsoft Corporation,05272018,EU mergers and takeovers (Oct 10) ,BRUSSELS  Oct 10 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
TSLA,Tesla Inc ,05272018,UPDATE 1-T. Rowe Price raises bet on Tesla in vote of confidence for Musk ,SAN FRANCISCO  Oct 10 Tesla shareholder T. Rowe Price Group Inc  raised its stake in the electric car maker by nearly half in the July-September quarter  according to a regulatory filing on Wednesday  an apparent vote of confidence for embattled CEO Elon Musk.,topStory
TSLA,Tesla Inc ,05272018,COLUMN-Hedge funds step up to lead shareholder suit against Tesla: Frankel ,NEW YORK  Oct 10 A pair of offshore hedge funds that claim to have lost more than $15 million to cover short positions in Tesla have asked for court approval to lead consolidated private securities fraud litigation against the carmaker.,normal
TSLA,Tesla Inc ,05272018,Hedge funds step up to lead shareholder suit against Tesla ,A pair of offshore hedge funds that claim to have lost more than $15 million to cover short positions in Tesla have asked for court approval to lead consolidated private securities fraud litigation against the carmaker.,normal
TSLA,Tesla Inc ,05272018,T. Rowe Price raises bet on Tesla in vote of confidence for Musk ,SAN FRANCISCO  Oct 10 Tesla shareholder T. Rowe Price Group Inc  raised its stake in the electric car maker by nearly half in the July-September quarter  according to a regulatory filing on Wednesday  an apparent vote of confidence for embattled CEO Elon Musk.,normal
TSLA,Tesla Inc ,05272018,James Murdoch in line to replace Musk as Tesla chairman -FT ,Oct 10 Outgoing Twenty-First Century Fox Inc Chief Executive James Murdoch is the lead candidate to replace Elon Musk as Tesla Inc chairman  the Financial Times reported on Wednesday  citing two people briefed on the discussions.,normal
TSLA,Tesla Inc ,05272018,U.S. agency says Tesla safety claim goes beyond its analysis ,WASHINGTON Tesla Inc  claimed its Model 3 electric car has the lowest risk of occupant injury of any vehicle in U.S. government tests  but the National Highway Traffic Safety Administration on Tuesday said the claim goes beyond the scope of its analysis.,normal
TSLA,Tesla Inc ,05272018,US STOCKS-Futures dip ahead of producer price data ,Oct 10 U.S. stock index futures were slightly lower on Wednesday on lingering concerns around slowing global growth  while investors awaited producer price data for a reading on inflation.,normal
NVDA,NVIDIA Corporation,05272018,Nvidia aims to woo business analysts with new software ,Graphics chipmaker Nvidia Corp is trying to grab a bigger slice of the business computing market from dominant rival Intel Corp with a new set of software tools released on Wednesday.,topStory
NVDA,NVIDIA Corporation,05272018,Chipmaker Nvidia to supply computer for Volvo's upcoming vehicles ,SAN FRANCISCO Graphics chipmaker Nvidia Corp said on Wednesday that Swedish automaker Volvo would begin using its artificial intelligence computer to deliver low-level autonomous features in all its next-generation vehicles.,normal
NVDA,NVIDIA Corporation,05272018,Nvidia aims to woo business analysts with new software ,Oct 10 Graphics chipmaker Nvidia Corp is trying to grab a bigger slice of the business computing market from dominant rival Intel Corp with a new set of software tools released on Wednesday.,normal
NVDA,NVIDIA Corporation,05272018,Chipmaker Nvidia to supply computer for Volvo's upcoming vehicles ,SAN FRANCISCO  Oct 10 Graphics chipmaker Nvidia Corp said on Wednesday that Swedish automaker Volvo would begin using its artificial intelligence computer to deliver low-level autonomous features in all its next-generation vehicles.,normal
QCOM,QUALCOMM Incorporated,05272018,UPDATE 3-Pentagon says memo asking for Broadcom-CA deal review is likely fake ,Oct 10 The U.S. Department of Defense said on Wednesday that a memo purporting to show the Pentagon asking for a national security review of chipmaker Broadcom Inc's $19 billion deal to buy software company CA Technologies was likely fake.,normal
