TSLA,Tesla Inc ,05272018,Musk to buy $20 million in Tesla stock ,Tesla Inc  Chief Executive Officer Elon Musk will purchase company stock worth $20 million in the next open trading session  the electric carmaker said in a filing on Wednesday.,topStory
TSLA,Tesla Inc ,05272018,Factbox: Tesla executive departures since 2016 ,Electric carmaker Tesla Inc  has seen a flurry of senior executives leave the company in recent months.,normal
TSLA,Tesla Inc ,05272018,Tesla's vice president of manufacturing departs: Business Insider ,Tesla Inc's  vice president of manufacturing  Gilbert Passin  has left the company  Business Insider reported on Wednesday  citing a source familiar with the situation.,normal
TSLA,Tesla Inc ,05272018,UPDATE 2-Tesla's vice president of manufacturing departs - Business Insider ,Oct 17 Tesla Inc's vice president of manufacturing  Gilbert Passin  has left the company  Business Insider reported https://www.businessinsider.com/teslas-vp-of-manufacturing-gilbert-passin-is-out-source-2018-10 on Wednesday  citing a source familiar with the situation.,normal
TSLA,Tesla Inc ,05272018,Tesla's vice president of manufacturing departs - Business Insider ,Oct 17 Tesla Inc's vice president of manufacturing  Gilbert Passin  has left the company  Business Insider reported https://www.businessinsider.com/teslas-vp-of-manufacturing-gilbert-passin-is-out-source-2018-10 on Wednesday  citing a source familiar with the situation.,normal
TSLA,Tesla Inc ,05272018,Wednesday Morning Briefing ,Secretary of State Mike Pompeo meets Turkish President Erdogan  Zika on the rise in Angola and Russia moves into in Central Africa. Catch up on the latest headlines.,normal
TSLA,Tesla Inc ,05272018,UPDATE 1-Musk to buy $20 mln in Tesla stock ,Oct 17 Tesla Inc Chief Executive Officer Elon Musk will purchase company stock worth $20 million in the next open trading session  the electric carmaker said in a filing on Wednesday.,normal
TSLA,Tesla Inc ,05272018,Musk to purchase Tesla stock worth $20 mln ,Oct 17 Tesla Inc Chief Executive Officer Elon Musk will purchase company stock worth $20 million in the next open trading session  the electric carmaker said in a filing on Wednesday.,normal
TSLA,Tesla Inc ,05272018,UPDATE 2-Tesla secures Shanghai site for $2 bln China Gigafactory ,* Plant will help Tesla trim China prices (Adds background on China NEV market),normal
TSLA,Tesla Inc ,05272018,U.S. Senate bill could give Tesla  GM electric car tax credit boost ,WASHINGTON Tesla Inc  and General Motors Co   which have lobbied Congress to lift a cap on electric vehicles eligible for a $7 500 tax credit  could get their way for up to four years under a new proposal from a Republican senator.,normal
INTC,Intel Corporation,05272018,UPDATE 2-ASML's bullish outlook pulls computer chip stocks higher ,* ASML beats on Q3  sees record 11 bln euros sales in in 2018,normal
