TSLA,Tesla Inc ,05272018,Tesla names director Denholm to replace Musk as board chair ,Tesla Inc has named director Robyn Denholm as board chair  fulfilling a demand by the U.S. Securities and Exchange Commission to strip the job from Elon Musk  the electric car maker's wayward chief executive who has dragged the company through months of turbulence. | Video ,topStory
TSLA,Tesla Inc ,05272018,UPDATE 9-Tesla names director Denholm to replace Musk as board chair ,* Appointment follows Musk fraud settlement with SEC (Rewrites  adds details from SEC-Tesla agreement),normal
TSLA,Tesla Inc ,05272018,VW plans Tesla rival electric car for less than 20 000 eur -source ,FRANKFURT  Nov 8 Volkswagen will offer a Tesla-rivalling electric car costing below 20 000 euros ($22 836) and convert three of its factories into electric car plants as part of a far-reaching overhaul  a source familiar with the deliberations told Reuters.,normal
TSLA,Tesla Inc ,05272018,Breakingviews - New Tesla chair will have to get tougher ,HONG KONG (Reuters Breakingviews) - Elon Musk is finally getting his adult supervision. Robyn Denholm  finance chief at Australian telecom operator Telstra  will move from her boardroom seat at Tesla to the head of the table – and oversee the $60 billion electric-car maker's erratic chief executive full-time. She will have to get tougher  though.,normal
TSLA,Tesla Inc ,05272018,CORRECTED-UPDATE 3-Tesla appoints Robyn Denholm as chair to replace Elon Musk ,Nov 8 Tesla Inc said board member Robyn Denholm will replace Elon Musk as its chair  more than a month after the billionaire had to step down as the electric-car maker's chairman as part of a settlement with U.S. regulators.,normal
TSLA,Tesla Inc ,05272018,Robyn Denholm to replace Elon Musk as Tesla chair - CNBC ,Nov 8 Robyn Denholm will replace Elon Musk as chair of Tesla Inc  CNBC reported on Thursday.,normal
QCOM,QUALCOMM Incorporated,05272018,GLOBAL MARKETS-Equities fall after Fed keeps rates on hold  dollar up ,* WTI crude enters bear market (Updates with close of U.S. markets),normal
QCOM,QUALCOMM Incorporated,05272018,GLOBAL MARKETS-Equities slip as Fed holds rates steady; dollar up ,* Oil stumbles more than 1 percent (Updates market action after Fed statement),normal
QCOM,QUALCOMM Incorporated,05272018,GLOBAL MARKETS-Equities dip ahead of Fed statement  U.S. dollar ,* Dollar advances ahead of Fed statement (Changes byline  dateline to NEW YORK; updates throughout),normal
QCOM,QUALCOMM Incorporated,05272018,US STOCKS-Wall St dips as weak earnings dampen surge from midterm elections ,* Indexes down: Dow 0.03 pct  S&P 0.10 pct  Nasdaq 0.13 pct (Updates to open),normal
QCOM,QUALCOMM Incorporated,05272018,US STOCKS-Wall St set to open lower after election surge; Fed meet in focus ,* Futures down: Dow 0.24 pct  S&P 0.39 pct  Nasdaq 0.58 pct (Adds comment  details  updates prices),normal
QCOM,QUALCOMM Incorporated,05272018,US STOCKS-Futures dip after election surge  Fed meet in focus ,Nov 8 U.S. stock index futures fell on Thursday following a Wall Street rally in the previous session that was spurred by relief after the midterm elections  with investor focus shifting to the Federal Reserve's interest rate decision.,normal
