MSFT,Microsoft Corporation,05272018,UPDATE 3-Cisco beats as network gear demand rises  new bets pay off ,Nov 14 Cisco Systems Inc beat analysts' estimates for quarterly revenue and profit on Wednesday  as the network gear maker benefited from demand for its routers and switches as well as growth in newer areas of focus such as software.,normal
TSLA,Tesla Inc ,05272018,Tesla slashes prices on home solar systems to spur sales ,Tesla Inc  has cut prices on its residential solar systems by as much as 25 percent in a bid to lift lagging sales after the company streamlined its sales and marketing organization  a company official told Reuters on Thursday.,topStory
TSLA,Tesla Inc ,05272018,UPDATE 1-Tesla slashes prices on home solar systems to spur sales ,Nov 15 Tesla Inc has cut prices on its residential solar systems by as much as 25 percent in a bid to lift lagging sales after the company streamlined its sales and marketing organization  a company official told Reuters on Thursday.,normal
TSLA,Tesla Inc ,05272018,Tesla slashes prices on home solar systems to spur sales ,Nov 15 Tesla Inc has cut prices on its residential solar systems by as much as 25 percent in a bid to lift lagging sales after the company streamlined its sales and marketing organization  a company official told Reuters.,normal
TSLA,Tesla Inc ,05272018,Tesla to deliver new Model 3 orders by year end ,Tesla Inc  Chief Executive Officer Elon Musk said on Thursday that Model 3s ordered in the United States by the end of this month will be delivered by Dec. 31  as the electric carmaker tries to take advantage of tax breaks.,normal
TSLA,Tesla Inc ,05272018,UPDATE 1-Tesla to deliver new Model 3 orders by year end ,Nov 15 Tesla Inc Chief Executive Officer Elon Musk said on Thursday that Model 3s ordered in the United States by the end of this month will be delivered by Dec. 31  as the electric carmaker tries to take advantage of tax breaks.,normal
TSLA,Tesla Inc ,05272018,Tesla to deliver new Model 3 orders by year end ,Nov 15 Tesla Inc Chief Executive Elon Musk said on Thursday that Model 3s ordered in the United States by the end of this month will be delivered by Dec. 31  as the electric carmaker tries to take advantage of tax breaks.,normal
NVDA,NVIDIA Corporation,05272018,Nvidia forecasts current-quarter revenue below estimates  shares slump ,Nov 15 Chipmaker Nvidia Corp forecast fourth-quarter revenue below Wall Street estimates on Thursday  sending its shares down nearly 14 percent in extended trading.,topStory
NVDA,NVIDIA Corporation,05272018,Nikkei hit by selling in banks  Apple suppliers ,* SMFG  Mizuho sold on disappointing FY forecasts  U.S. bank sector decline,normal
NVDA,NVIDIA Corporation,05272018,Nikkei falls as banks' earning forecasts disappoint ,* SMFG  Mizuho sold after keeping full-year forecasts  U.S. bank sector decline,normal
INTC,Intel Corporation,05272018,Intel adds $15 billion to its buyback program ,Chipmaker Intel Corp  said on Thursday its board has approved a $15 billion increase to its share repurchase program.,topStory
INTC,Intel Corporation,05272018,Intel adds $15 bln to its buyback program ,Nov 15 Chipmaker Intel Corp said on Thursday its board has approved a $15 billion increase to its share repurchase program.,normal
