"Tweet Id^Tweet text^Company^timestamp^*^*^Text Blob^*^Vader^*^*^*^Clips pattern"
"*^*^*^GMT^EST^IST^polarity^subjectivity^neg^neu^pos^compound^polarity^subjectivity"
"1076997389779640000^cymulate and symantec join hands for shared research on email-based attacks security^symantec^2018-12-24 00:26:02^2018-12-23 13:56:02^2018-12-24 00:26:02^0.0^0.0^0.162^0.447^0.391^0.4767^0.0^0.0"
"1077052808027880000^symantec finland: norton security % off + online back up symantec finland^symantec^2018-12-24 04:06:14^2018-12-23 17:36:14^2018-12-24 04:06:14^0.0^0.0^0.0^0.789^0.211^0.34^0.0^0.0"
"1077131636985210000^failure to replace symantec certificates leads to website outages may result in reputational damage thats why'^symantec^2018-12-24 09:19:29^2018-12-23 22:49:29^2018-12-24 09:19:29^-0.317^0.3^0.317^0.683^0.0^-0.7579^-0.317^0.3"
"1077141877068100000^data in transit will be one of main objectives of hackers next year according symantec infographic^symantec^2018-12-24 10:00:10^2018-12-23 23:30:10^2018-12-24 10:00:10^0.083^0.167^0.0^1.0^0.0^0.0^0.083^0.167"
"1077142254215520000^rt : data in transit will be one of main objectives of hackers next year according symantec infographic infosec^symantec^2018-12-24 10:01:40^2018-12-23 23:31:40^2018-12-24 10:01:40^0.083^0.167^0.0^1.0^0.0^0.0^0.083^0.167"
"1077230533581590000^top top cyber security predictions for symantec trendmicro mcafee eset^symantec^2018-12-24 15:52:27^2018-12-24 05:22:27^2018-12-24 15:52:27^0.5^0.5^0.0^0.538^0.462^0.6124^0.5^0.5"
"1077231525270230000^facebooks top five fails of symantec trendmicro mcafee eset exabeam ueba'^symantec^2018-12-24 15:56:24^2018-12-24 05:26:24^2018-12-24 15:56:24^0.0^0.4^0.206^0.662^0.132^-0.25^0.0^0.4"
"1077232929363810000^rt : facebooks top five fails of symantec trendmicro mcafee eset exabeam ueba splunk'^symantec^2018-12-24 16:01:59^2018-12-24 05:31:59^2018-12-24 16:01:59^0.0^0.4^0.179^0.705^0.115^-0.25^0.0^0.4"
"1077234529612500000^forsale check out new symantec winfax pro hassle free faxing windows nt windows symantec via^symantec^2018-12-24 16:08:20^2018-12-24 05:38:20^2018-12-24 16:08:20^0.268^0.627^0.0^0.809^0.191^0.5106^0.268^0.627"
"1077274225847620000^rt : symantec buys lifelock^symantec^2018-12-24 18:46:04^2018-12-24 08:16:04^2018-12-24 18:46:04^0.0^0.0^0.0^1.0^0.0^0.0^0.0^0.0"
"1077285292942540000^symantec: trimble partners with modern boosts fields solution segment - symantec^symantec^2018-12-24 19:30:03^2018-12-24 09:00:03^2018-12-24 19:30:03^0.2^0.3^0.0^0.635^0.365^0.5574^0.2^0.3"
"1078083286549710000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 00:20:59^2018-12-26 13:50:59^2018-12-27 00:20:59^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078084738617870000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 00:26:46^2018-12-26 13:56:46^2018-12-27 00:26:46^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078090230241120000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 00:48:35^2018-12-26 14:18:35^2018-12-27 00:48:35^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078091289919470000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 00:52:48^2018-12-26 14:22:48^2018-12-27 00:52:48^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078096650361480000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 01:14:06^2018-12-26 14:44:06^2018-12-27 01:14:06^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078105552218210000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 01:49:28^2018-12-26 15:19:28^2018-12-27 01:49:28^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078105763724350000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 01:50:18^2018-12-26 15:20:18^2018-12-27 01:50:18^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078110353299510000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 02:08:33^2018-12-26 15:38:33^2018-12-27 02:08:33^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078110461969810000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 02:08:59^2018-12-26 15:38:59^2018-12-27 02:08:59^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078112571096530000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 02:17:21^2018-12-26 15:47:21^2018-12-27 02:17:21^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078113570523610000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 02:21:20^2018-12-26 15:51:20^2018-12-27 02:21:20^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078114836620410000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 02:26:22^2018-12-26 15:56:22^2018-12-27 02:26:22^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
"1078122509495680000^rt : google upset with symantec over false securitycertificates via^symantec^2018-12-27 02:56:51^2018-12-26 16:26:51^2018-12-27 02:56:51^-0.4^0.6^0.245^0.755^0.0^-0.3818^-0.4^0.6"
