Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity
1067276176257940000,help a brotha out! destiny giveaway streamer twitch gamer gaming twitchstreamer...,ActivisionBlizzard,27-11-2018 04:37,26-11-2018 23:37,27-11-2018 10:07,0,0,0,0.751,0.249,0.4574,0,0
1067477297425300000,destiny : season of the forge begins new black armory details emerge activisionblizzard destiny:forsaken ps,ActivisionBlizzard,27-11-2018 17:56,27-11-2018 12:56,27-11-2018 23:26,-0.015151515,0.443939394,0,1,0,0,-0.015151515,0.443939394
1067594196310260000,activision blizzard inc: (+%) $atvi activisionblizzard sentiment stock analysis bigdata,ActivisionBlizzard,28-11-2018 01:41,27-11-2018 20:41,28-11-2018 07:11,-0.75,1,0,1,0,0,-0.75,1
1067620892979580000,rt : activision blizzard inc: (+%) $atvi activisionblizzard sentiment stock analysis big...,ActivisionBlizzard,28-11-2018 03:27,27-11-2018 22:27,28-11-2018 08:57,-0.375,0.55,0,1,0,0,-0.375,0.55
1067637016727330000,follow us!! destiny giveaway streamer twitch gamer gaming twitchstreamer...,ActivisionBlizzard,28-11-2018 04:31,27-11-2018 23:31,28-11-2018 10:01,0,0,0,1,0,0,0,0
1067637419586000000,rt : follow us!! destiny giveaway streamer twitch gamer gaming twitchstreamer gaminglife s...,ActivisionBlizzard,28-11-2018 04:32,27-11-2018 23:32,28-11-2018 10:02,0,0,0,1,0,0,0,0
1067704986220470000,destiny : black armory - new exotic weapons and last word rumours activisionblizzard blackarmory destiny ps,ActivisionBlizzard,28-11-2018 09:01,28-11-2018 04:01,28-11-2018 14:31,0.117424242,0.488636364,0.182,0.818,0,-0.4404,0.117424242,0.488636364
1067762880903200000,destiny : potential story spoiler leaked in black armory cutscene activisionblizzard destiny:forsaken cutscene,ActivisionBlizzard,28-11-2018 12:51,28-11-2018 07:51,28-11-2018 18:21,-0.083333333,0.716666667,0.173,0.827,0,-0.3182,-0.083333333,0.716666667
1068001276296860000,let's do this! destiny giveaway streamer twitch gamer gaming twitchstreamer...,ActivisionBlizzard,29-11-2018 04:38,28-11-2018 23:38,29-11-2018 10:08,0,0,0,1,0,0,0,0
1068001519717570000,rt : let's do this! destiny giveaway streamer twitch gamer gaming twitchstreamer gaminglife...,ActivisionBlizzard,29-11-2018 04:39,28-11-2018 23:39,29-11-2018 10:09,0,0,0,1,0,0,0,0
