Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity
1065213359056970000,gileadsciences $gild bidaskscore is downgraded to held,GileadSciences,21-11-2018 12:00,21-11-2018 07:00,21-11-2018 17:30,0,0,0,1,0,0,0,0
1065334048615270000,chart-bargain-trade: gilead sciences this is my best trader stock the last trade was too high but now it looks li...,GileadSciences,21-11-2018 20:00,21-11-2018 15:00,22-11-2018 01:30,0.386666667,0.302222222,0,0.88,0.12,0.3818,0.386666667,0.302222222
1068380234599340000,today photo booth at gilead sciences gileadsciences gilead bayareaphotobooth fostercityphotobooth...,GileadSciences,30-11-2018 05:44,30-11-2018 00:44,30-11-2018 11:14,0,0,0,1,0,0,0,0
1068567118256450000,prep is expensive but there programs around the country that help with the cost gileadsciences has a drug assis...,GileadSciences,30-11-2018 18:07,30-11-2018 13:07,30-11-2018 23:37,-0.5,0.7,0,0.827,0.173,0.5499,-0.5,0.7
1068567214968720000,rt : prep is expensive but there programs around the country that help with the cost gileadsciences has a drug assistance prog...,GileadSciences,30-11-2018 18:07,30-11-2018 13:07,30-11-2018 23:37,-0.5,0.7,0,0.843,0.157,0.5499,-0.5,0.7
1068568857588110000,rt : prep is expensive but there programs around the country that help with the cost gileadsciences has a drug assistance prog...,GileadSciences,30-11-2018 18:14,30-11-2018 13:14,30-11-2018 23:44,-0.5,0.7,0,0.843,0.157,0.5499,-0.5,0.7
1068571132012440000,rt : prep is expensive but there programs around the country that help with the cost gileadsciences has a drug assistance prog...,GileadSciences,30-11-2018 18:23,30-11-2018 13:23,30-11-2018 23:53,-0.5,0.7,0,0.843,0.157,0.5499,-0.5,0.7
1068592877326990000,gilead sciences (gild) is a sell for usnow at and a hold for about the next days stockstowatch...,GileadSciences,30-11-2018 19:49,30-11-2018 14:49,01-12-2018 01:19,0,0,0,1,0,0,0,0
1068730620044600000,rt : gilead sciences (gild) is a sell for usnow at and a hold for about the next days stockstowatch inves...,GileadSciences,01-12-2018 04:56,30-11-2018 23:56,01-12-2018 10:26,0,0,0,1,0,0,0,0
1068808122045730000,diversityandinclusion transgirl hivpositive worldsids terencehigginstrust thtsohooutreach gileadsciences...,GileadSciences,01-12-2018 10:04,01-12-2018 05:04,01-12-2018 15:34,0,0,0,1,0,0,0,0
1069001377207190000,so is dependency on poisons that big pharm like gileadsciences feeds the masses,GileadSciences,01-12-2018 22:52,01-12-2018 17:52,02-12-2018 04:22,0,0.1,0.215,0.64,0.145,-0.296,0,0.1
1069032653616270000,gileadsciences supporting world aids day in lansing mi with sisters from...,GileadSciences,02-12-2018 00:57,01-12-2018 19:57,02-12-2018 06:27,0.25,0.25,0,0.775,0.225,0.4404,0.25,0.25
1069601770245090000,stunning: months after supreme court sought govts views in false claims act (fca) case accusing gileadsciences...,GileadSciences,03-12-2018 14:38,03-12-2018 09:38,03-12-2018 20:08,0.05,0.8,0.081,0.622,0.297,0.6705,0.05,0.8
1070045175454550000,gileadsciences $gild bidaskscore is upgraded to bought,GileadSciences,04-12-2018 20:00,04-12-2018 15:00,05-12-2018 01:30,0,0,0,1,0,0,0,0
1072151257266180000,gilead sciences inc (nasdaq: gild) announces daniel o'day ceo of the company! gilead gileadsciences gild...,GileadSciences,10-12-2018 15:29,10-12-2018 10:29,10-12-2018 20:59,0,0,0,1,0,0,0,0
1072152245104440000,gilead sciences announces daniel o'day as chairman and ceo boardofdirectors ceo chiefexecutiveofficer ...,GileadSciences,10-12-2018 15:33,10-12-2018 10:33,10-12-2018 21:03,0,0,0,1,0,0,0,0
1073271816494500000,gileadsciences has launched an ambassador program for blackwomen hiv,GileadSciences,13-12-2018 17:41,13-12-2018 12:41,13-12-2018 23:11,0,0,0,0.842,0.158,0.128,0,0
