Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity
1067902853841340000,themostdangerouspersonis undeveloped school yard bully trumprussia steeldynamics,SteelDynamics,28-11-2018 22:07,28-11-2018 17:07,29-11-2018 03:37,0,0,0.348,0.652,0,-0.4939,0,0
1067903664352740000,rt : themostdangerouspersonis undeveloped school yard bully trumprussia steeldynamics,SteelDynamics,28-11-2018 22:10,28-11-2018 17:10,29-11-2018 03:40,0,0,0.314,0.686,0,-0.4939,0,0
1067906734612720000,rt : steel dynamics's $b eaf mill will be operational in late at the earliest just in time for a new predident to li...,SteelDynamics,28-11-2018 22:23,28-11-2018 17:23,29-11-2018 03:53,-0.081818182,0.527272727,0,1,0,0,-0.081818182,0.527272727
1067911137289730000,outstanding gentlemen and steeldynamics REGIONAL INDICATOR SYMBOL LETTER UREGIONAL INDICATOR SYMBOL LETTER SmagaREGIONAL INDICATOR SYMBOL LETTER UREGIONAL INDICATOR SYMBOL LETTER S,SteelDynamics,28-11-2018 22:40,28-11-2018 17:40,29-11-2018 04:10,0.5,0.875,0,0.826,0.174,0.6124,0.5,0.875
1067911294315950000,rt : themostdangerouspersonis undeveloped school yard bully trumprussia steeldynamics,SteelDynamics,28-11-2018 22:41,28-11-2018 17:41,29-11-2018 04:11,0,0,0.314,0.686,0,-0.4939,0,0
1067911775826330000,rt : themostdangerouspersonis undeveloped school yard bully trumprussia steeldynamics,SteelDynamics,28-11-2018 22:43,28-11-2018 17:43,29-11-2018 04:13,0,0,0.314,0.686,0,-0.4939,0,0
1067912958368520000,omfg!!! the wall!! steel dynamics has a bid on the border wall it's all coming together...,SteelDynamics,28-11-2018 22:47,28-11-2018 17:47,29-11-2018 04:17,0,0,0,0.811,0.189,0.5053,0,0
1067935779857540000,rt : be sure to read the entire thread!!! theresistance breaking wednesdaywisdom trumprus...,SteelDynamics,29-11-2018 00:18,28-11-2018 19:18,29-11-2018 05:48,0.25,0.756944444,0,0.776,0.224,0.4898,0.25,0.756944444
1068249523473080000,largemouth !!!! trumpisguiltyaf deutschebank trumprussia steeldynamics,SteelDynamics,29-11-2018 21:05,29-11-2018 16:05,30-11-2018 02:35,0,0,0,1,0,0,0,0
1068257593636730000,rt : themostdangerouspersonis undeveloped school yard bully trumprussia steeldynamics,SteelDynamics,29-11-2018 21:37,29-11-2018 16:37,30-11-2018 03:07,0,0,0.314,0.686,0,-0.4939,0,0
1068257776256860000,rt : themostdangerouspersonis undeveloped school yard bully trumprussia steeldynamics,SteelDynamics,29-11-2018 21:37,29-11-2018 16:37,30-11-2018 03:07,0,0,0.314,0.686,0,-0.4939,0,0
1068264852148350000,rt : themostdangerouspersonis undeveloped school yard bully trumprussia steeldynamics,SteelDynamics,29-11-2018 22:06,29-11-2018 17:06,30-11-2018 03:36,0,0,0.314,0.686,0,-0.4939,0,0
1068268606310550000,rt : largemouth !!!! trumpisguiltyaf deutschebank trumprussia steeldynamics,SteelDynamics,29-11-2018 22:20,29-11-2018 17:20,30-11-2018 03:50,0,0,0,1,0,0,0,0
1068509228611040000,rt : themostdangerouspersonis undeveloped school yard bully trumprussia steeldynamics,SteelDynamics,30-11-2018 14:17,30-11-2018 09:17,30-11-2018 19:47,0,0,0.314,0.686,0,-0.4939,0,0
1068569914301010000,thanks for sharing amy beard!! this is great news !! steelnews steeldynamics eaf rollingmill,SteelDynamics,30-11-2018 18:18,30-11-2018 13:18,30-11-2018 23:48,0.65625,0.475,0,0.501,0.499,0.8994,0.65625,0.475
1068641879216970000,steeldynamics building million ton steel mill in the southwest that will create good-paying us jobs,SteelDynamics,30-11-2018 23:04,30-11-2018 18:04,01-12-2018 04:34,0,0,0,0.87,0.13,0.2732,0,0
1070381814013770000,ussteel nucor steeldynamics arcelormittal commodity steelindustry generalmotors automobile brand branding...,SteelDynamics,05-12-2018 18:18,05-12-2018 13:18,05-12-2018 23:48,0,0,0,1,0,0,0,0
1070383812620600000,rt : ussteel nucor steeldynamics arcelormittal commodity steelindustry generalmotors automobile brand branding ceo cx...,SteelDynamics,05-12-2018 18:26,05-12-2018 13:26,05-12-2018 23:56,0,0,0,1,0,0,0,0
1070400797295470000,steel imports break through tariff barrier bureauoflaborstatistics generalmotors $gm manufacturing nasdaq ...,SteelDynamics,05-12-2018 19:33,05-12-2018 14:33,06-12-2018 01:03,0,0,0.12,0.88,0,-0.128,0,0
1073437690094220000,rt : ussteel nucor steeldynamics arcelormittal commodity steelindustry generalmotors automobile brand branding ceo cx...,SteelDynamics,14-12-2018 04:41,13-12-2018 23:41,14-12-2018 10:11,0,0,0,1,0,0,0,0
1073817558950820000,with you i am home you complete me baby from our first kiss i felt our hearts and souls intertwine you make ev...,SteelDynamics,15-12-2018 05:50,15-12-2018 00:50,15-12-2018 11:20,0.175,0.366666667,0,0.877,0.123,0.4215,0.175,0.366666667
