Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity
1068369075825340000,cisco webex meetings installed (windows) nessus,cisco,30-11-2018 05:00,30-11-2018 00:00,30-11-2018 10:30,0,0,0,1,0,0,0,0
1068369651124580000,a case study - exploring the aci common pervasive gateway feature aci cisco,cisco,30-11-2018 05:02,30-11-2018 00:02,30-11-2018 10:32,-0.3,0.5,0,1,0,0,-0.3,0.5
1068369839729850000,rt : a case study - exploring the aci common pervasive gateway feature a...,cisco,30-11-2018 05:03,30-11-2018 00:03,30-11-2018 10:33,-0.3,0.5,0,1,0,0,-0.3,0.5
1068372679760240000,mg motor india announced partnership with cisco iot and unlimit to develop connectedmobility enabled vehicles t...,cisco,30-11-2018 05:14,30-11-2018 00:14,30-11-2018 10:44,0,0,0,1,0,0,0,0
1068374832847430000,rt : cronin juststated that cisco has committed millions of $$$$ of effort towards this partnership along with vetting the e...,cisco,30-11-2018 05:23,30-11-2018 00:23,30-11-2018 10:53,0,0,0,0.9,0.1,0.2732,0,0
1068375538845140000,rt : check out our latest cisco sd-wan workshop brochure! follow us on linkedin and twitter for the latest on upcoming training...,cisco,30-11-2018 05:25,30-11-2018 00:25,30-11-2018 10:55,0.5625,0.9,0,1,0,0,0.5625,0.9
1068377169301290000,cisco fixes vulnerability in the web framework code of cisco prime license manager that could allow an attacker...,cisco,30-11-2018 05:32,30-11-2018 00:32,30-11-2018 11:02,0,0,0.096,0.808,0.096,0,0,0
1068378651245370000,when you shutdown the wrong interfaceUPSIDE-DOWN FACE labeveryday cisco networkingfortheculture,cisco,30-11-2018 05:38,30-11-2018 00:38,30-11-2018 11:08,-0.5,0.9,0.256,0.744,0,-0.4767,-0.5,0.9
1068379872081390000,rt : wearecisco and we're BLACK RIGHTWARDS ARROW[?] top two LEFTWARDS BLACK ARROW[?] on 's best workplaces for parents list to all the cisconian fami...,cisco,30-11-2018 05:43,30-11-2018 00:43,30-11-2018 11:13,0.291666667,0.416666667,0,0.776,0.224,0.7476,0.291666667,0.416666667
1068379878649740000,hcltechnologies receives cisco award for excellence in software and cloud,cisco,30-11-2018 05:43,30-11-2018 00:43,30-11-2018 11:13,0,0,0,0.513,0.487,0.8225,0,0
1068379964859240000,rt : hcltechnologies receives cisco award for excellence in software and cloud via ...,cisco,30-11-2018 05:43,30-11-2018 00:43,30-11-2018 11:13,0,0,0,0.591,0.409,0.8225,0,0
1068384127794070000,best it training certification courses ai analytics iot bi amazon aws...,cisco,30-11-2018 06:00,30-11-2018 01:00,30-11-2018 11:30,1,0.3,0,0.604,0.396,0.7096,1,0.3
1068384153727450000,rt : hcltechnologies receives cisco award for excellence in software and cloud via ...,cisco,30-11-2018 06:00,30-11-2018 01:00,30-11-2018 11:30,0,0,0,0.591,0.409,0.8225,0,0
1068384377770550000,latest cisco citrix vmware microsoft news on the go - new iphone app! cisco citrix microsoft vmware...,cisco,30-11-2018 06:00,30-11-2018 01:00,30-11-2018 11:30,0.335227273,0.677272727,0,1,0,0,0.335227273,0.677272727
1068384961072250000,are you looking for breaking stereotypes and inspiring a new generation by fulfilling your potential? we can learn...,cisco,30-11-2018 06:03,30-11-2018 01:03,30-11-2018 11:33,0.212121212,0.818181818,0,0.851,0.149,0.4215,0.212121212,0.818181818
1068388583755640000,rt : here building sites of nutanix clusters cisco tor switches roundtower offers staging configur...,cisco,30-11-2018 06:17,30-11-2018 01:17,30-11-2018 11:47,0.1,0,0,1,0,0,0.1,0
1068425009138320000,rt : cisco ccnp - chapter great material and great deal from cyber monday learning the foundation to...,cisco,30-11-2018 08:42,30-11-2018 03:42,30-11-2018 14:12,0.8,0.75,0,0.631,0.369,0.8481,0.8,0.75
1068425489688050000,want to see how sdwan actually works? check out our demo displaying how cisco vmanage provides full control over...,cisco,30-11-2018 08:44,30-11-2018 03:44,30-11-2018 14:14,0.175,0.325,0,0.933,0.067,0.0772,0.175,0.325
1068427644931200000,rt : throwbackthursday with the godfatherofprogrammability jason gooley! teamdevnet teamgsd dev...,cisco,30-11-2018 08:52,30-11-2018 03:52,30-11-2018 14:22,0,0,0,1,0,0,0,0
