Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,,,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity,,
1068380647121570000,for those interested in the awsdeepracer with intel inside check out this video of dr matt wood announcing...,intel,30-11-2018 05:46,30-11-2018 00:46,30-11-2018 11:16,0.25,0.5,0,0.863,0.137,0.4019,0.25,0.5,,
1068382005027590000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecurity ...,intel,30-11-2018 05:51,30-11-2018 00:51,30-11-2018 11:21,0.8,0.2,0.16,0.479,0.362,0.8294,0.8,0.2,,
1068382192139720000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecuri...,intel,30-11-2018 05:52,30-11-2018 00:52,30-11-2018 11:22,0.8,0.2,0.165,0.463,0.373,0.8294,0.8,0.2,,
1068382239287700000,intel has accepted microsoft's universal windows platform (uwp) for its latest driver package and now the compan...,intel,30-11-2018 05:52,30-11-2018 00:52,30-11-2018 11:22,0.25,0.45,0,0.884,0.116,0.2732,0.25,0.45,,
1068382277393100000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecurity ...,intel,30-11-2018 05:52,30-11-2018 00:52,30-11-2018 11:22,0.8,0.2,0.16,0.479,0.362,0.8294,0.8,0.2,,
1068382353918060000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecurity ...,intel,30-11-2018 05:52,30-11-2018 00:52,30-11-2018 11:22,0.8,0.2,0.16,0.479,0.362,0.8294,0.8,0.2,,
1068384689503660000,intel has accepted microsoft's universal windows platform (uwp) for its latest driver package and now the compan...,intel,30-11-2018 06:02,30-11-2018 01:02,30-11-2018 11:32,0.25,0.45,0,0.884,0.116,0.2732,0.25,0.45,,
1068384786824220000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecuri...,intel,30-11-2018 06:02,30-11-2018 01:02,30-11-2018 11:32,0.8,0.2,0.165,0.463,0.373,0.8294,0.8,0.2,,
1068384872324980000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecuri...,intel,30-11-2018 06:02,30-11-2018 01:02,30-11-2018 11:32,0.8,0.2,0.165,0.463,0.373,0.8294,0.8,0.2,,
1068384877039540000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecurity ...,intel,30-11-2018 06:02,30-11-2018 01:02,30-11-2018 11:32,0.8,0.2,0.16,0.479,0.362,0.8294,0.8,0.2,,
1068386134525380000,sigint fiveguys intel ...,intel,30-11-2018 06:07,30-11-2018 01:07,30-11-2018 11:37,0,0,0,1,0,0,0,0,,
1068386977618280000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecuri...,intel,30-11-2018 06:11,30-11-2018 01:11,30-11-2018 11:41,0.8,0.2,0.165,0.463,0.373,0.8294,0.8,0.2,,
1068387306107580000,what's your take on intel's ambient world? intel ambientworld,intel,30-11-2018 06:12,30-11-2018 01:12,30-11-2018 11:42,0,0,0,1,0,0,0,0,,
1068387367604510000,what's your take on intel's ambient world? intel ambientworld,intel,30-11-2018 06:12,30-11-2018 01:12,30-11-2018 11:42,0,0,0,1,0,0,0,0,,
1068387611574780000,rt : hacked routers under windows!! GRINNING FACEGRINNING FACE WITH SMILING EYESFACE WITH TEARS OF JOY infosec ethicalhacking itsecurity itsec cybersecuri...,intel,30-11-2018 06:13,30-11-2018 01:13,30-11-2018 11:43,0.8,0.2,0.165,0.463,0.373,0.8294,0.8,0.2,,
1068428823476280000,rt : day at the forbes healthcare summit attendees experiencing precision virtual reality forbeshealth intel surgical...,intel,30-11-2018 08:57,30-11-2018 03:57,30-11-2018 14:27,0,0,0,1,0,0,0,0,,
1068428893411930000,wall street slips as tech slumps systemscriptsbizrepg minutes treasuryyield...,intel,30-11-2018 08:57,30-11-2018 03:57,30-11-2018 14:27,0,0,0,1,0,0,0,0,,
1068434985575560000,intel hosting 'architecture day ' on december i would have had a good laugh if it was being held on the ...,intel,30-11-2018 09:22,30-11-2018 04:22,30-11-2018 14:52,0.5,0.35,0,0.723,0.277,0.7579,0.5,0.35,,
1068435966388510000,intel looks for salvation in gnu/linux gnu linux intel,intel,30-11-2018 09:25,30-11-2018 04:25,30-11-2018 14:55,0,0,0,1,0,0,0,0,,
1068437158380350000,intel wins patent for energy-efficient bitcoin mining,intel,30-11-2018 09:30,30-11-2018 04:30,30-11-2018 15:00,0.3,0.2,0,0.619,0.381,0.5719,0.3,0.2,,
1068437542314230000,intel wins patent for energy-efficient bitcoin mining intel btc bitcoin mining crypto...,intel,30-11-2018 09:32,30-11-2018 04:32,30-11-2018 15:02,0.3,0.2,0,0.748,0.252,0.5719,0.3,0.2,,
1068438004723820000,very low budget gaming pc thepclab asus motherboard intel cpu kingston ram thermaltake psu gigabyte...,intel,30-11-2018 09:34,30-11-2018 04:34,30-11-2018 15:04,0,0.39,0.146,0.854,0,-0.3384,0,0.39,,
1068438198496430000,intel wins patent for energy-efficient bitcoin mining from coindesk - bitcoinmining businessnews coindesk...,intel,30-11-2018 09:34,30-11-2018 04:34,30-11-2018 15:04,0.3,0.2,0,0.748,0.252,0.5719,0.3,0.2,,
1068440641154220000,intel hardwiring these parameters would lower the number of computations required it says estima...,intel,30-11-2018 09:44,30-11-2018 04:44,30-11-2018 15:14,0,0,0.142,0.774,0.084,-0.2263,0,0,,
1068443030640840000,rt : don't forget to pick up blackops with your purchase of a digitalstormpc and an intel core i i or i processor...,intel,30-11-2018 09:54,30-11-2018 04:54,30-11-2018 15:24,0,0,0,0.911,0.089,0.1695,0,0,,
1068446467877200000,rt : microsoft surface pro tablet intel core i-u ram gb gb grigio + cover tastiera nera [layout italia] ...,intel,30-11-2018 10:07,30-11-2018 05:07,30-11-2018 15:37,0,0,0,1,0,0,0,0,,
1068446798753260000,intel wins patent for energy-efficient bitcoin mining instablockchain instacrypto instanews ico altcoin...,intel,30-11-2018 10:09,30-11-2018 05:09,30-11-2018 15:39,0.3,0.2,0,0.748,0.252,0.5719,0.3,0.2,,
1068447332990180000,rt : intel wins patent for energy-efficient bitcoin mining instablockchain instacrypto instanews ico altcoin smartc...,intel,30-11-2018 10:11,30-11-2018 05:11,30-11-2018 15:41,0.3,0.2,0,0.778,0.222,0.5719,0.3,0.2,,
1068447904938040000,intel patent could make bitcoin mining more efficient technology,intel,30-11-2018 10:13,30-11-2018 05:13,30-11-2018 15:43,0.5,0.5,0,0.721,0.279,0.4754,0.5,0.5,,
1068451573506940000,developing a strategic approach to iot arrowbandwidth talks to microsoft intel about how to grow an iot busin...,intel,30-11-2018 10:28,30-11-2018 05:28,30-11-2018 15:58,0,0,0,1,0,0,0,0,,
1068454075644170000,intel have acquired a patent for energy efficient cryptocurrency mining bitcoin...,intel,30-11-2018 10:37,30-11-2018 05:37,30-11-2018 16:07,0,0,0,0.62,0.38,0.5994,0,0,,
1068454365466370000,intel adds support for microsoft's universal windows platform graphic drivers read more :,intel,30-11-2018 10:39,30-11-2018 05:39,30-11-2018 16:09,0.166666667,0.3,0,0.803,0.197,0.4019,0.166666667,0.3,,
1068454663937240000,rt : microsoft surface pro tablet intel core i-u ram gb gb grigio + cover tastiera nera [layout italia] ...,intel,30-11-2018 10:40,30-11-2018 05:40,30-11-2018 16:10,0,0,0,1,0,0,0,0,,
1068456837177990000,rt : which type of gamer are you ? find out your best weapon below! check msi z motherboard series ...,intel,30-11-2018 10:48,30-11-2018 05:48,30-11-2018 16:18,1,0.3,0.097,0.705,0.198,0.5093,1,0.3,,
1068460654380560000,computercomponent intel core i- processor bxi - m cache up to ghz computerparts affiliate...,intel,30-11-2018 11:04,30-11-2018 06:04,30-11-2018 16:34,0,0,0,1,0,0,0,0,,
