Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity
1068367528567680000,rt : is this why you stopped digging holes in the earthwhat did you hit elon? be honestPERSON BOWING DEEPLYZERO WIDTH JOINERMALE SIGN[?] teslamodel borin...,spacex,30-11-2018 04:54,29-11-2018 23:54,30-11-2018 10:24,0,0,0.089,0.911,0,-0.3094,0,0
1068368671922420000,rt : how excited am i for next week's spacex launch of supplies to the iss and return to launch site landing of the falcon bo...,spacex,30-11-2018 04:58,29-11-2018 23:58,30-11-2018 10:28,0.1875,0.375,0,0.906,0.094,0.34,0.1875,0.375
1068369813989460000,spacex gives more details on how their starlink internet service will work less satellites lower orbit sh... -...,spacex,30-11-2018 05:03,30-11-2018 00:03,30-11-2018 10:33,0.166666667,0.283333333,0.102,0.898,0,-0.2315,0.166666667,0.283333333
1068370224922050000,rt : spacex gives more details on how their starlink internet service will work less satellites lower orbit sh... - p...,spacex,30-11-2018 05:04,30-11-2018 00:04,30-11-2018 10:34,0.166666667,0.283333333,0.096,0.904,0,-0.2315,0.166666667,0.283333333
1068370417369280000,rt : the falcon being used for crs is vertical on the pad in anticipation of the static fire schedule for today the launch...,spacex,30-11-2018 05:05,30-11-2018 00:05,30-11-2018 10:35,0.5,0.9,0.097,0.847,0.056,-0.25,0.5,0.9
1068376899586590000,aliens are more like us than we think new oxford research reveals via xEXTRATERRESTRIAL ALIENSMILING FACE WITH HALODIZZY SYMBOL asknasa extraterrestrial spacex,spacex,30-11-2018 05:31,30-11-2018 00:31,30-11-2018 11:01,0.318181818,0.477272727,0,0.883,0.117,0.4201,0.318181818,0.477272727
1068378808724670000,we could use a few spacex falconheavies and land directly on the moon with about to tons of moon base at a...,spacex,30-11-2018 05:38,30-11-2018 00:38,30-11-2018 11:08,-0.3,0.5,0,1,0,0,-0.3,0.5
1068380434655050000,spacex for example aims to use agile innovation to begin transporting people to mars by with the goal of...,spacex,30-11-2018 05:45,30-11-2018 00:45,30-11-2018 11:15,0.5,0.75,0,0.874,0.126,0.3818,0.5,0.75
1068380644177310000,but they have a vision that it's possible and they have some steps in mind they intend to dramatically improve re...,spacex,30-11-2018 05:46,30-11-2018 00:46,30-11-2018 11:16,0,1,0,0.739,0.261,0.7469,0,1
1068380764453180000,they intend to improve propulsion systems to launch rockets that can carry at least people they plan to figure...,spacex,30-11-2018 05:46,30-11-2018 00:46,30-11-2018 11:16,-0.3,0.4,0,0.861,0.139,0.4404,-0.3,0.4
1068384195263810000,... spacewatch: nasa to launch new crewed craft in  manned spaceflight spacex boeing,spacex,30-11-2018 06:00,30-11-2018 01:00,30-11-2018 11:30,0.136363636,0.454545455,0,1,0,0,0.136363636,0.454545455
1068385713123700000,on this list: a company who laid off all its employees last year amid ceo ip theft accusations not on this list: c...,spacex,30-11-2018 06:06,30-11-2018 01:06,30-11-2018 11:36,-0.375,0.533333333,0.099,0.901,0,-0.3182,-0.375,0.533333333
